,12-OH,18-OH,20-OH,22-OH,24-OH,26-OH,28-OH,30-OH,12-MI,18-MI,20-MI,22-MI,24-MI,26-MI,28-MI,30-MI,12-TX,18-TX,20-TX,22-TX,24-TX,26-TX,28-TX,30-TX,12-IL,18-IL,20-IL,22-IL,24-IL,26-IL,28-IL,30-IL,12-WI,18-WI,20-WI,22-WI,24-WI,26-WI,28-WI,30-WI,12-MO,18-MO,20-MO,22-MO,24-MO,26-MO,28-MO,30-MO,12-AZ,18-AZ,20-AZ,22-AZ,24-AZ,26-AZ,28-AZ,30-AZ,12-NM,18-NM,20-NM,22-NM,24-NM,26-NM,28-NM,30-NM,12-CA,18-CA,20-CA,22-CA,24-CA,26-CA,28-CA,30-CA,12-NV,18-NV,20-NV,22-NV,24-NV,26-NV,28-NV,30-NV,12-NY,18-NY,20-NY,22-NY,24-NY,26-NY,28-NY,30-NY,12-PA,18-PA,20-PA,22-PA,24-PA,26-PA,28-PA,30-PA,,,,,,
1,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,States Chart,,Width,Length,If Length
2,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,AZ,,24,50,50
3,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,24-AZ,,,,
6,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
7,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,Match Column,,,,
8,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,53,,,50,
9,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,Trusses Used in Selected States,,,
10,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,13,,,
