=== SHEET: Snow - Trusses ===
  (matched as "Snow - Trusses ")
  Range: A1:CY1000 (rows 0-999, cols 0-102)
  Row 0: B=12-OH | C=18-OH | D=20-OH | E=22-OH | F=24-OH | G=26-OH | H=28-OH | I=30-OH | J=12-MI | K=18-MI | L=20-MI | M=22-MI | N=24-MI | O=26-MI | P=28-MI | Q=30-MI | R=12-TX | S=18-TX | T=20-TX | U=22-TX | V=24-TX | W=26-TX | X=28-TX | Y=30-TX | Z=12-IL | AA=18-IL | AB=20-IL | AC=22-IL | AD=24-IL | AE=26-IL | AF=28-IL | AG=30-IL | AH=12-WI | AI=18-WI | AJ=20-WI | AK=22-WI | AL=24-WI | AM=26-WI | AN=28-WI | AO=30-WI | AP=12-MO | AQ=18-MO | AR=20-MO | AS=22-MO | AT=24-MO | AU=26-MO | AV=28-MO | AW=30-MO | AX=12-AZ | AY=18-AZ | AZ=20-AZ | BA=22-AZ | BB=24-AZ | BC=26-AZ | BD=28-AZ | BE=30-AZ | BF=12-NM | BG=18-NM | BH=20-NM | BI=22-NM | BJ=24-NM | BK=26-NM | BL=28-NM | BM=30-NM | BN=12-CA | BO=18-CA | BP=20-CA | BQ=22-CA | BR=24-CA | BS=26-CA | BT=28-CA | BU=30-CA | BV=12-NV | BW=18-NV | BX=20-NV | BY=22-NV | BZ=24-NV | CA=26-NV | CB=28-NV | CC=30-NV | CD=12-NY | CE=18-NY | CF=20-NY | CG=22-NY | CH=24-NY | CI=26-NY | CJ=28-NY | CK=30-NY | CL=12-PA | CM=18-PA | CN=20-PA | CO=22-PA | CP=24-PA | CQ=26-PA | CR=28-PA | CS=30-PA
  Row 1: A=1 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CU=States Chart | CW=Width | CX=Length | CY=If Length
  Row 2: A=2 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CU=AZ | CW=24 | CX=50 | CY=50
  Row 3: A=3 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
  Row 4: A=4 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
  Row 5: A=5 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CU=24-AZ
  Row 6: A=6 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
  Row 7: A=7 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CU=Match Column
  Row 8: A=8 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CU=53 | CX=50
  Row 9: A=9 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CV=Trusses Used in Selected States
  Row 10: A=10 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7 | CV=13
  Row 11: A=11 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
  Row 12: A=12 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
  Row 13: A=13 | B=5 | C=5 | D=5 | E=5 | F=5 | G=6 | H=6 | I=6 | J=7 | K=7 | L=7 | M=7 | N=7 | O=7 | P=7 | Q=7 | R=5 | S=5 | T=5 | U=5 | V=5 | W=5 | X=5 | Y=5 | Z=5 | AA=5 | AB=6 | AC=6 | AD=6 | AE=6 | AF=6 | AG=6 | AH=7 | AI=7 | AJ=7 | AK=7 | AL=7 | AM=7 | AN=7 | AO=7 | AP=5 | AQ=5 | AR=5 | AS=6 | AT=6 | AU=6 | AV=6 | AW=6 | AX=5 | AY=5 | AZ=6 | BA=6 | BB=6 | BC=6 | BD=6 | BE=6 | BF=5 | BG=5 | BH=5 | BI=5 | BJ=5 | BK=6 | BL=6 | BM=6 | BN=5 | BO=5 | BP=6 | BQ=6 | BR=6 | BS=6 | BT=6 | BU=6 | BV=6 | BW=6 | BX=6 | BY=6 | BZ=6 | CA=6 | CB=6 | CC=6 | CD=6 | CE=6 | CF=7 | CG=7 | CH=7 | CI=7 | CJ=7 | CK=7 | CL=6 | CM=6 | CN=6 | CO=7 | CP=7 | CQ=7 | CR=7 | CS=7
